Status,Count,Percentage
CANCEL,75,1.1406080809801322e-4
CLOSED,632198,0.9614535301059701
DUP,3907,0.005941807696519168
LIEN,2366,0.003598238292798657
LOCKED,13205,0.020082306279123528
OPEN,4497,0.006839086053556872
PENDNG,35,5.322837711240617e-5
WIP,1261,0.0019177423868212621
